XH,XFSJ,zao,zhong,wan
7455290,2020/11/10,0,9,9.5
7455290,2020/11/11,9,17,0
7455290,2020/11/12,0,11,10
7455290,2020/11/13,0,9,0
7455290,2020/11/15,0,0,9
7455290,2020/11/18,0,0,9
7455290,2020/11/19,0,27,9
7455290,2020/11/20,0,9,9
7455290,2020/11/23,3,11.5,0
7455290,2020/11/24,0,9,10.5
7455290,2020/11/25,9,18,10
7455290,2020/11/26,0,9.4,9.5
7455290,2020/11/27,9,10,0
7455290,2020/11/28,0,0,9
7455290,2020/11/29,0,0,10
7455290,2020/11/30,3,0,9
7455290,2020/12/1,3.5,9,11
7455290,2020/12/2,3,9,10.5
7455290,2020/12/3,0,11,10
7455290,2020/12/4,3,24,5
7455290,2020/12/5,0,9.5,9
7455290,2020/12/6,0,10,9.5
7455290,2020/12/7,4.1,0,10
7455290,2020/12/8,3.5,10,10
7455290,2020/12/9,3,10,9.7
7455290,2020/12/10,6,10,8
7455290,2020/12/11,0,10,7.8
7455290,2020/12/12,3.5,10,10
7455290,2020/12/13,2.5,10,9.8
7455290,2020/12/14,2.5,12,10.3
7455290,2020/12/15,6,8,9.8
7455290,2020/12/16,4,8,11.5
7455290,2020/12/17,3,8,8
7455290,2020/12/18,0,28,10
7455290,2020/12/19,2.5,10,0
7455290,2021/3/15,0,0,11
7455290,2021/3/16,0,0,9.5
7455290,2021/3/17,0,16,11
7455290,2021/3/18,0,0,7
7455290,2021/3/19,0,11.5,21
7455290,2021/3/20,3.1,30,10.5
7455290,2021/3/21,0,10,11
7455290,2021/3/22,3,11,9.5
7455290,2021/3/23,3,11.5,9
7455290,2021/3/24,3,0,9
7455290,2021/3/25,3,9.5,12
7455290,2021/3/26,4,9.5,10
7455290,2021/3/27,4,7.5,1.5
7455290,2021/3/28,3.5,18.5,8
7455290,2021/3/29,3,0,0
7455290,2021/4/1,0,7,0
7455290,2021/4/2,5,0,0
7455290,2021/4/3,0,0,10
7455290,2021/4/6,3.5,0,0
7455290,2021/4/9,4.5,0,0
7455290,2021/4/10,0,11,11.5
7455290,2021/4/11,4,5,9
7455290,2021/4/12,4,5,3
7455290,2021/4/13,2,12,0
7455290,2021/4/14,2,7,7
7455290,2021/4/15,3,20.5,33
7455290,2021/4/16,4.5,7,8
7455290,2021/4/17,3.5,0,9.5
7455290,2021/4/18,4,8,11.5
7455290,2021/4/19,4.5,0,0
7455290,2021/4/24,0,0,8
7455290,2021/4/25,3.5,8,0
7455290,2021/4/26,4,7,9.5
7455290,2021/4/27,5,10,9.5
7455290,2021/4/28,5,16,10
7455290,2021/4/29,5,10,10
7455290,2021/4/30,3,10,8
7455290,2021/5/1,0,14.5,22.1
7455290,2021/5/2,5,0,7
7455290,2021/5/3,4,0,0
7455290,2021/5/4,0,19,0
7455290,2021/5/6,0,8,9.5
7455290,2021/5/7,3.5,6,10
7455290,2021/5/8,3.5,10,7
7455290,2021/5/9,3,6,12
7455290,2021/5/10,3,9.5,13
7455290,2021/5/11,3,0,8
7455290,2021/5/12,2.5,12,9.5
7455290,2021/5/13,2.5,6,9.77
7455290,2021/5/14,3,6,10
7455290,2021/5/15,0,30.5,11
7455290,2021/5/16,5,6.5,8
7455290,2021/5/17,3,0,10
7455290,2021/5/18,0,6,17
7455290,2021/5/19,3,10,10
7455290,2021/5/20,3,12.5,10
7455290,2021/5/21,2,10,9
7455290,2021/5/22,2.5,20.04,9.5
7455290,2021/5/23,2.5,10,10.5
7455290,2021/5/24,0,8,10
7455290,2021/5/25,3,10,5
7455290,2021/5/26,2.5,19,7
7455290,2021/5/27,3,10,9
7455290,2021/5/28,3,12,9.5
7455290,2021/5/29,3,0,9.5
7455290,2021/5/30,3.5,9,9.5
7455290,2021/5/31,3,10,7
7455290,2021/6/1,4.5,0,9.5
7455290,2021/6/2,4.5,9,9.5
7455290,2021/6/3,2.5,6,9
7455290,2021/6/4,2,7,2
7455290,2021/6/5,2,7.5,9
7455290,2021/6/6,3.5,8,15
7455290,2021/6/7,2,9,9.5
7455290,2021/6/8,3,11,9
7455290,2021/6/9,3,8,9
7455290,2021/6/10,3.5,10.5,8
7455290,2021/6/11,3.5,10.5,9
7455290,2021/6/12,3.5,8.5,12.5
7455290,2021/6/13,2.5,12.5,11.5
7455290,2021/6/14,3,8,10.5
7455290,2021/6/15,3,9,7.5
7455290,2021/6/16,3,6,8.5
7455290,2021/6/17,1,6,0
7455290,2021/6/18,0,7.5,0
7455290,2021/6/22,0,5,10
7455290,2021/6/23,0,0,9.5
7455290,2021/6/24,3,9,10.5
7455290,2021/6/25,0,6,15.8
7455290,2021/6/26,0,10,15.8
7455290,2021/6/27,3,9.5,7
7455290,2021/6/28,3,10,8.5
7455290,2021/6/29,4.5,5,10
7455290,2021/6/30,0,8.5,11.5
7455290,2021/7/1,5,6,9.5
7455290,2021/7/6,3,11.8,0
7455290,2021/7/7,3.5,6.5,10.5
7455290,2021/7/8,2.5,6.5,15.5
7455290,2021/7/9,0,11,0
7455290,2021/7/11,0,0,4.5
7455290,2021/7/12,0,5,8
7455290,2021/7/13,4.5,9.5,16
7455290,2021/7/14,4.5,6,12.5
7455290,2021/7/15,0,0,5.5
7455290,2021/7/16,0,0,11.8
7455290,2021/7/17,0,8.5,9.5
7455290,2021/7/18,4.5,5.5,11
7455290,2021/7/19,4.5,0,10.5
7455290,2021/7/25,4.5,4.5,10
7455290,2021/7/26,0,9.5,5.5
7455290,2021/7/27,0,0,4.5
7455290,2021/7/28,9.5,12.5,0
7455290,2021/8/27,0,10,0
7455290,2021/8/28,2.5,8,21.5
7455290,2021/8/29,3.1,13,9.5
7455290,2021/8/30,2.5,10,10
7455290,2021/8/31,3,10,11
7455290,2021/9/1,3,0,0
7455290,2021/9/2,3.5,5,13.5
7455290,2021/9/3,2.5,10.5,10
7455290,2021/9/4,0,16.5,13
7455290,2021/9/5,4.5,5.5,11
7455290,2021/9/6,6.5,10,9.5
7455290,2021/9/7,0,10,11
7455290,2021/9/8,2.5,9,14.5
7455290,2021/9/9,3,10,11
7455290,2021/9/10,2.6,8.5,9
7455290,2021/9/11,3,8.5,11
7455290,2021/9/12,3,8.5,11
7455290,2021/9/13,3.6,7,10.5
7455290,2021/9/14,2.6,9.5,11
7455290,2021/9/15,6.5,14,10
7455290,2021/9/16,3,10.8,10
7455290,2021/9/17,3,10.5,10
7455290,2021/9/18,3,10.5,10
7455290,2021/9/19,3,7,0
7455290,2021/9/20,4.5,10.5,10
7455290,2021/9/21,0,18,0
7455290,2021/9/22,3,10,0
7455290,2021/9/23,3,7.5,9
7455290,2021/9/24,4.5,7,7
7455290,2021/9/25,3,7,9.5
7455290,2021/9/26,0,8,10
7455290,2021/9/27,7,8,10
7455290,2021/9/28,3,0,10
7455290,2021/9/29,0,8,10
7455290,2021/9/30,2.5,9,18.62
7455290,2021/10/1,6,16,10
7455290,2021/10/2,4.5,4.3,12
7455290,2021/10/3,2.5,6.5,11
7455290,2021/10/4,3,10,8
7455290,2021/10/5,3,7,11
7455290,2021/10/6,4.5,9.5,8
7455290,2021/10/7,3,9.5,13
7455290,2021/10/8,3,9.5,8
7455290,2021/10/9,4.5,19,8
7455290,2021/10/10,0,7,11
7455290,2021/10/11,3,6.5,10
7455290,2021/10/12,3,9.5,8
7455290,2021/10/13,3.5,8.5,10
7455290,2021/10/14,2.5,0,15.8
7455290,2021/10/15,0,10.5,9
7455290,2021/10/16,0,11.5,11
7455290,2021/10/17,0,31,8
7455290,2021/10/18,0,10.5,9.5
7455290,2021/10/19,0,0,5.5
7455290,2021/10/20,0,11.5,10
7455290,2021/10/21,0,9.5,10
7455290,2021/10/22,0,10.5,10.3
7455290,2021/10/23,4.5,11,14
7455290,2021/10/24,4.5,9.98,9
7455290,2021/10/25,3,8,8
7455290,2021/10/26,4.5,9.5,7
7455290,2021/10/27,0,5.5,13
7455290,2021/10/28,2.5,10.5,9
7455290,2021/10/29,2.6,9,10
7455290,2021/10/30,10.5,4.5,6.5
7455290,2021/10/31,0,11.5,8
7455290,2021/11/1,9,0,10
7455290,2021/11/2,2.5,15,4.5
7455290,2021/11/3,0,9.8,10.5
7455290,2021/11/4,4.5,9,7
7455290,2021/11/5,0,13.3,9
7455290,2021/11/6,0,8.3,13
7455290,2021/11/7,0,0,15.8
7455290,2021/11/8,0,5.5,0
7455290,2021/11/9,2.5,15.5,16.5
7455290,2021/11/10,0,23,10
7455290,2021/11/11,0,10,12
7455290,2021/11/12,2.5,8,6.5
7455290,2021/11/13,0,5,12
7455290,2021/11/14,0,9,6
7455290,2021/11/15,0,8,7
7455290,2021/11/16,0,0,9
7455290,2021/11/17,0,9.5,8
7455290,2021/11/18,0,9.5,15.8
7455290,2021/11/19,10,0,8.5
7455290,2021/11/20,0,11,8
7455290,2021/11/21,0,11.5,8
7455290,2021/11/22,0,9,8
7455290,2021/11/23,0,4.5,8
7455290,2021/11/24,0,5,7
7455290,2021/11/25,3,9,9
7455290,2021/11/26,0,8,8.5
7455290,2021/11/27,0,9,8
7455290,2021/11/28,0,267,7
7455290,2021/11/29,0,7,8.5
7455290,2021/11/30,0,8.5,5
7455290,2021/12/1,0,7.5,18
7455290,2021/12/2,1.5,9.5,7.5
7455290,2021/12/3,0,11,5
7455290,2021/12/4,0,8,5
7455290,2021/12/5,0,7,14
7455290,2021/12/6,0,5,5
7455290,2021/12/7,0,8.5,5
7455290,2021/12/8,0,5,9
7455290,2021/12/9,0,5,9
7455290,2021/12/10,4.5,5,10
7455290,2021/12/11,0,5,10
7455290,2021/12/12,2.5,10,5
7455290,2021/12/13,1.5,8,5
7455290,2021/12/14,3,10.5,9
7455290,2021/12/15,1.5,5,6
7455290,2021/12/16,3,5,7
7455290,2021/12/17,2,11.5,8
7455290,2021/12/18,4.5,0,0
7455290,2022/3/10,0,0,10
7455290,2022/3/11,3,8,6.5
7455290,2022/3/12,3,6.5,9
7455290,2022/3/13,7,5,11.5
7455290,2022/3/14,2.5,6,7
7455290,2022/3/15,2.5,6.5,6.5
7455290,2022/3/16,3.1,8,8.5
7455290,2022/3/17,2.6,8,11
7455290,2022/3/18,3.1,6.5,12
7455290,2022/3/19,4,8,11.8
7455290,2022/3/20,3,9.5,8
7455290,2022/3/21,3,0,0
7455290,2022/3/23,0,0,6.5
7455290,2022/3/24,2.5,12.5,13
7455290,2022/3/25,3.5,9.5,10
7455290,2022/3/26,5.5,7.5,9
7455290,2022/3/27,3,6.5,8
7455290,2022/3/28,2.5,6.5,0
7455290,2022/3/29,0,5,6
7455290,2022/3/30,5.5,6.5,6
7455290,2022/3/31,4.5,17.5,0
7455290,2022/4/1,2.5,5,8
7455290,2022/4/2,2.5,8.5,10
7455290,2022/4/3,2.5,8.5,7
7455290,2022/4/4,3,0,8
7455290,2022/4/5,0,19.5,12
7455290,2022/4/6,3,8,8
7455290,2022/4/7,5,5.5,5
7455290,2022/4/8,0,5,0
7455290,2022/4/9,0,5,13.5
7455290,2022/4/10,0,8,8
7455290,2022/4/11,2.5,5,5.5
7455290,2022/4/12,0,0,8
7455290,2022/4/13,0,9,7
7455290,2022/4/14,0,7,17.5
7455290,2022/4/15,0,7,8
7455290,2022/4/16,0,7,8
7455290,2022/4/17,0,14,10.5
7455290,2022/4/18,0,7,10.5
7455290,2022/4/19,0,11.5,13.26
7455290,2022/4/20,0,0,4.5
7455290,2022/4/21,0,0,8
7455290,2022/4/22,0,0,15.5
7455290,2022/4/24,0,0,8
7455290,2022/4/25,3,0,7
7455290,2022/4/26,0,0,4.5
7455290,2022/4/27,0,0,15
7455290,2022/4/28,2.5,0,0
7455290,2022/4/30,0,0,13.8
7455290,2022/5/2,2.5,0,0
7455290,2022/5/24,0,19.2,12
7455290,2022/5/25,2.6,10.5,0
7455290,2022/5/26,2.2,6,9
7455290,2022/5/27,2.6,16.3,13
7455290,2022/5/28,3,16.8,14.5
7455290,2022/5/29,0,24.05,8
7455290,2022/5/30,0,0,27.5
16212933,2019/10/17,0,17,0
16212933,2021/4/20,0,12,0
16212933,2021/4/21,0,15.5,0
16212933,2021/4/27,0,0,7
16212933,2021/5/6,0,0,17.8
16212933,2021/5/10,0,0,16
16212933,2021/5/11,0,0,19
16212933,2021/5/13,0,0,14
16212933,2021/5/19,0,22,0
16212933,2021/5/20,0,0,14.2
16212933,2021/5/24,0,0,10
16212933,2021/5/25,12,0,0
16212933,2021/5/26,0,0,20
16212933,2021/5/31,0,14,0
16212933,2021/6/2,0,0,9
16212933,2021/6/3,0,0,7
16212933,2021/6/7,13,0,11.44
16212933,2021/6/9,0,15,0
16212933,2021/6/10,0,0,8.6
16212933,2021/6/11,0,11,0
16212933,2021/6/15,0,13,1.5
16212933,2021/7/4,0,0,11
16212933,2021/7/5,15,0,0
16212933,2021/8/29,0,0,27.5
16212933,2021/8/30,0,0,15
16212933,2021/8/31,0,7,5
16212933,2021/9/1,4.5,0,0
16212933,2021/9/2,0,0,13.3
16212933,2021/9/6,0,0,5
16212933,2021/9/8,4,12,0
16212933,2021/9/15,0,14.7,0
16212933,2021/9/16,0,0,11
16212933,2021/9/22,0,0,19
16212933,2021/9/24,0,12,0
16212933,2021/9/28,0,0,16.8
16212933,2021/9/30,0,0,12
16212933,2021/10/2,0,0,17.5
16212933,2021/10/5,0,15,0
16212933,2021/10/6,0,9,0
16212933,2021/10/11,0,0,10
16212933,2021/10/14,0,15.5,0
16212933,2021/10/15,0,0,11
16212933,2021/10/19,0,11.5,0
16212933,2021/10/21,0,12.5,0
16212933,2021/11/4,0,23.5,10.5
16212933,2021/11/8,0,0,12
16212933,2021/11/18,0,17.5,0
16212933,2021/11/22,0,0,12
16212933,2021/11/23,0,12,0
16212933,2021/12/2,0,0,19.2
16212933,2021/12/6,0,0,21.5
16212933,2021/12/9,0,0,24
16212933,2021/12/11,0,0,18
16212933,2021/12/15,0,24.8,0
16212933,2021/12/17,7.5,0,0
16212933,2022/3/11,5.5,0,0
16212933,2022/3/12,0,0,12
16212933,2022/3/16,16.8,3.5,0
16212933,2022/3/18,11,0,0
16212933,2022/3/24,21,0,0
16212933,2022/3/25,8,0,0
16212933,2022/3/26,20.6,0,0
16212933,2022/3/27,1.5,0,0
16212933,2022/3/28,0,0,11.5
16212933,2022/4/2,0,3.5,22.7
16212933,2022/4/6,0,23.7,0
16212933,2022/4/10,0,21.1,0
16212933,2022/4/11,0,38.8,0
16212933,2022/4/16,0,56.4,0
16212933,2022/4/21,0,0,36.3
16212933,2022/5/25,0,0,21.8
16212933,2022/5/27,0,47,24
16212933,2022/5/30,0,21.3,12
16212933,2022/5/31,0,5.5,13
16212933,2022/6/1,6.4,0,0
29528440,2019/6/29,0,4,0
29528440,2019/7/1,0,10,14
29528440,2019/7/2,0,12,0
29528440,2019/7/3,0,0,22
29528440,2019/8/21,0,12.5,11
29528440,2019/8/22,11,0,0
29528440,2019/8/23,0,24,10
29528440,2019/8/24,0,15,0
29528440,2019/8/25,0,11,10
29528440,2019/8/28,9.5,0,17
29528440,2019/8/29,0,13.5,9.5
29528440,2019/9/1,0,0,12
29528440,2019/9/2,0,8.5,11
29528440,2019/9/3,0,11.5,15.5
29528440,2019/9/4,0,7.5,0
29528440,2019/9/5,0,8,0
29528440,2019/9/6,0,6.5,22.5
29528440,2019/9/7,0,12.5,16.5
29528440,2019/9/8,0,10.5,13.5
29528440,2019/9/9,0,18,11
29528440,2019/9/10,9.5,0,3
29528440,2019/9/11,0,12,9
29528440,2019/9/12,0,10.5,14
29528440,2019/9/16,0,18,15
29528440,2019/9/17,0,0,13
29528440,2019/9/19,0,12,3
29528440,2019/9/20,0,10.5,0
29528440,2019/9/22,0,12,0
29528440,2019/9/23,0,3,12
29528440,2019/9/25,0,9,12
29528440,2019/9/26,0,9,0
29528440,2019/9/27,0,9,19
29528440,2019/9/28,0,17,0
29528440,2019/9/29,0,15,0
29528440,2019/9/30,0,14,0
29528440,2019/10/9,0,0,3
29528440,2019/10/11,0,0,9
29528440,2019/10/14,0,15,0
29528440,2019/10/15,0,0,12
29528440,2019/10/21,0,18,12
29528440,2019/10/22,0,3,0
29528440,2019/10/23,0,9,17
29528440,2019/10/24,0,0,12
29528440,2019/10/28,0,0,12
29528440,2019/10/30,0,0,12
29528440,2019/11/4,0,30,0
29528440,2019/11/5,0,0,12
29528440,2019/11/6,0,3,15
29528440,2019/11/11,0,0,12
29528440,2019/11/15,0,0,15
29528440,2019/11/16,0,0,11
29528440,2019/11/17,0,0,14
29528440,2019/11/18,15,0,14
29528440,2019/11/19,9,0,19
29528440,2019/11/21,0,12.5,20
29528440,2019/11/22,0,0,11
29528440,2019/11/26,0,0,15
29528440,2019/11/27,0,0,8
29528440,2019/11/28,0,10,0
29528440,2019/11/30,0,0,19
29528440,2019/12/2,0,15,8
29528440,2019/12/3,0,0,11
29528440,2019/12/4,0,0,12
29528440,2019/12/10,0,10,0
29528440,2019/12/12,0,0,12
29528440,2019/12/14,3.1,0,11
29528440,2019/12/17,3,0,0
29528440,2019/12/31,7,0,0
29528440,2020/1/1,0,0,3
29528440,2020/1/5,19.8,0,0
29528440,2020/5/27,0,11,21
29528440,2020/5/28,0,0,10
29528440,2020/5/29,0,19,16
29528440,2020/5/30,0,30,24.5
29528440,2020/5/31,0,0,21
29528440,2020/6/1,0,0,37
29528440,2020/6/2,0,39.5,0
29528440,2020/6/3,0,25.5,0
29528440,2020/6/4,0,0,33
29528440,2020/6/5,0,0,32
29528440,2020/6/10,0,0,20.9
29528440,2020/6/11,0,25,0
29528440,2020/6/12,0,0,25
29528440,2020/6/14,0,0,22
29528440,2020/6/15,20,0,24
29528440,2020/6/16,0,0,22
29528440,2020/6/26,0,0,13
29528440,2020/6/27,0,14,14
29528440,2020/6/28,0,0,6
29528440,2020/6/30,0,0,29
29528440,2020/7/1,0,0,31
29528440,2020/7/2,0,31.5,28
29528440,2020/7/3,0,0,7
29528440,2020/7/5,0,0,16.5
29528440,2020/7/6,9,0,0
29528440,2020/8/23,0,0,37
29528440,2020/8/24,0,18,20
29528440,2020/8/25,0,30,38
29528440,2020/8/26,0,0,42
29528440,2020/8/27,0,0,42
29528440,2020/8/28,0,0,52
29528440,2020/8/29,0,0,11
29528440,2020/8/30,0,18,0
29528440,2020/9/2,0,21,20.5
29528440,2020/9/5,0,26.5,26
29528440,2020/9/6,16,15,0
29528440,2020/9/7,0,23,42
29528440,2020/9/8,0,0,17
29528440,2020/9/9,0,25,11
29528440,2020/9/10,0,0,27
29528440,2020/9/11,0,23,0
29528440,2020/9/12,0,0,21
29528440,2020/9/13,0,25.5,0
29528440,2020/9/14,0,24,33
29528440,2020/9/16,0,9,30.2
29528440,2020/9/17,0,0,25.7
29528440,2020/9/18,0,0,25.5
29528440,2020/9/19,0,15.5,0
29528440,2020/9/20,10,2,0
29528440,2020/9/21,0,21,0
29528440,2020/9/23,0,0,19
29528440,2020/9/24,0,14,0
29528440,2020/9/26,0,0,28
29528440,2020/9/29,0,0,24
29528440,2020/10/4,0,0,31
29528440,2020/10/5,0,28,0
29528440,2020/10/8,0,19,0
29528440,2020/10/9,0,9,0
29528440,2020/10/10,0,13,0
29528440,2020/10/13,0,12,0
29528440,2020/10/21,0,21,0
29528440,2020/10/24,0,21,0
29528440,2020/10/25,0,12,0
29528440,2020/10/28,0,19,0
29528440,2020/10/29,0,12,0
29528440,2020/10/30,0,14,0
29528440,2020/11/8,0,21,0
29528440,2020/11/9,0,0,9
29528440,2020/11/10,0,15,0
29528440,2020/11/13,0,14,13
29528440,2020/11/14,0,0,19
29528440,2020/11/15,0,14,0
29528440,2020/11/16,0,0,27.5
29528440,2020/11/17,0,12,0
29528440,2020/11/19,0,15.5,0
29528440,2020/11/20,0,28,0
29528440,2020/11/22,0,14,0
29528440,2020/11/23,0,24,18
29528440,2020/11/24,0,14,0
29528440,2020/11/25,0,0,12
29528440,2020/11/26,0,21,12
29528440,2020/11/27,0,0,9
29528440,2020/11/28,0,19,9
29528440,2020/11/29,0,15,15
29528440,2020/11/30,0,25.5,9
29528440,2020/12/1,0,0,15
29528440,2020/12/2,0,9,0
29528440,2020/12/3,0,12,23.5
29528440,2020/12/4,0,10.2,0
29528440,2020/12/5,0,16,9
29528440,2020/12/6,0,12,0
29528440,2020/12/7,0,15,12
29528440,2020/12/8,0,12,12
29528440,2020/12/9,0,21,12
29528440,2020/12/10,0,0,12
29528440,2020/12/11,0,16.7,0
29528440,2020/12/12,0,33,0
29528440,2020/12/13,0,21,14
29528440,2020/12/14,0,26,0
29528440,2020/12/15,0,15,8
29528440,2020/12/16,12.2,12,27
29528440,2020/12/17,0,0,12.5
29528440,2020/12/18,0,30,0
29528440,2020/12/20,0,20.2,0
29528440,2021/3/18,0,14,0
